"","tve_user_id","ft_start","ft_end"
"1",15236063,2017-01-18,2017-01-25
"2",15239368,2017-01-18,2017-02-17
"3",15245523,2017-01-19,2017-01-26
"4",15253901,2017-01-19,2017-01-26
"5",15259939,2017-01-20,2017-01-27
"6",15269019,2017-01-20,2017-01-27
"7",15272446,2017-01-21,2017-01-28
"8",15310721,2017-01-23,2017-01-30
"9",15322941,2017-01-23,2017-01-30
"10",15328710,2017-01-24,2017-01-31
"11",15330924,2017-01-24,2017-01-31
"12",15336147,2017-01-24,2017-01-31
"13",15324687,2017-01-24,2017-01-31
"14",15339548,2017-01-24,2017-01-31
"15",14590322,2017-01-25,2017-02-01
"16",15345408,2017-01-25,2017-02-01
"17",15347077,2017-01-25,2017-02-01
"18",15348569,2017-01-25,2017-02-01
"19",15372552,2017-01-27,2017-02-03
"20",15376429,2017-01-28,2017-02-04
"21",15378089,2017-01-28,2017-02-04
"22",15391104,2017-01-29,2017-02-05
"23",15413563,2017-01-30,2017-02-06
"24",15421557,2017-01-30,2017-02-06
"25",15425475,2017-01-31,2017-02-07
"26",15443215,2017-02-01,2017-02-08
"27",15444875,2017-02-01,2017-02-08
"28",15484638,2017-02-05,2017-02-12
"29",15496129,2017-02-05,2017-02-12
"30",15499092,2017-02-06,2017-02-13
"31",15506820,2017-02-06,2017-02-13
"32",15511365,2017-02-07,2017-02-14
"33",14952612,2017-01-01,2017-01-31
"34",14952765,2017-01-01,2017-01-08
"35",15923535,2017-03-10,2017-03-17
"36",15928562,2017-03-11,2017-03-18
"37",14552661,2017-03-11,2017-03-18
"38",15935416,2017-03-11,2017-03-18
"39",15940603,2017-03-13,2017-03-20
"40",15957812,2017-03-13,2017-03-20
"41",15959500,2017-03-13,2017-04-12
"42",15964116,2017-03-13,2017-03-20
"43",15964454,2017-03-13,2017-03-20
"44",15965308,2017-03-14,2017-03-21
"45",15988399,2017-03-15,2017-03-22
"46",15991828,2017-03-16,2017-03-23
"47",16002113,2017-03-17,2017-03-24
"48",16007224,2017-03-18,2017-03-25
"49",16014948,2017-03-18,2017-03-25
"50",16037132,2017-03-20,2017-03-27
"51",16044355,2017-03-21,2017-03-28
"52",16051273,2017-03-22,2017-03-29
"53",16061330,2017-03-23,2017-03-30
"54",16063810,2017-03-23,2017-03-30
"55",16067627,2017-03-23,2017-03-30
"56",16071416,2017-03-24,2017-03-31
"57",16082097,2017-03-25,2017-04-01
"58",16083170,2017-03-25,2017-04-01
"59",16094291,2017-03-26,2017-04-02
"60",16097707,2017-03-26,2017-04-02
"61",16101455,2017-03-26,2017-04-02
"62",16107593,2017-03-27,2017-04-03
"63",15370632,2017-03-27,2017-04-03
"64",16116865,2017-03-27,2017-04-03
"65",16117343,2017-03-27,2017-04-03
"66",16136845,2017-03-29,2017-04-05
"67",16139203,2017-03-30,2017-04-06
"68",16149789,2017-03-31,2017-04-07
"69",16155021,2017-03-31,2017-04-07
"70",16169354,2017-04-02,2017-04-09
"71",15142769,2017-04-02,2017-04-09
"72",16172947,2017-04-02,2017-04-09
"73",16173324,2017-04-02,2017-04-09
"74",16176638,2017-04-02,2017-04-09
"75",16211309,2017-04-06,2017-04-13
"76",16232427,2017-04-08,2017-04-15
"77",15852689,2017-03-04,2017-04-03
"78",15854200,2017-03-04,2017-03-11
"79",15856318,2017-03-05,2017-03-12
"80",15865839,2017-03-05,2017-03-12
"81",15877895,2017-03-06,2017-03-13
"82",15884472,2017-03-06,2017-04-05
"83",15897635,2017-03-08,2017-03-15
"84",16244733,2017-04-09,2017-04-16
"85",16245622,2017-04-09,2017-04-16
"86",14374615,2017-04-10,2017-04-17
"87",16263062,2017-04-11,2017-04-18
"88",16269788,2017-04-11,2017-04-18
"89",16297149,2017-04-15,2017-04-22
"90",16308947,2017-04-16,2017-04-23
"91",16309717,2017-04-16,2017-04-23
"92",16321545,2017-04-18,2017-04-25
"93",16323110,2017-04-18,2017-04-25
"94",16334201,2017-04-19,2017-04-26
"95",16336948,2017-04-20,2017-04-27
"96",16340573,2017-04-20,2017-04-27
"97",16341068,2017-04-20,2017-04-27
"98",16342334,2017-04-21,2017-04-28
"99",16344279,2017-04-21,2017-04-28
"100",16362015,2017-04-23,2017-04-30
"101",16370991,2017-04-23,2017-04-30
"102",16387170,2017-04-25,2017-05-02
"103",16387803,2017-04-25,2017-05-02
"104",16392568,2017-04-26,2017-05-03
"105",16399704,2017-04-27,2017-05-04
"106",16414320,2017-04-29,2017-05-06
"107",16416967,2017-04-29,2017-05-06
"108",16420781,2017-04-29,2017-05-06
"109",16422547,2017-04-29,2017-05-06
"110",16422861,2017-04-29,2017-05-06
"111",16423872,2017-04-29,2017-05-06
"112",16424192,2017-04-29,2017-05-06
"113",16424821,2017-04-29,2017-05-06
"114",16426678,2017-04-29,2017-05-06
"115",16428778,2017-04-29,2017-05-06
"116",16429699,2017-04-29,2017-05-06
"117",16431343,2017-04-29,2017-05-06
"118",16431912,2017-04-30,2017-05-07
"119",16440020,2017-04-30,2017-05-07
"120",15544099,2017-02-10,2017-02-17
"121",16454917,2017-05-02,2017-05-09
"122",16458564,2017-05-02,2017-05-09
"123",16483208,2017-05-06,2017-05-13
"124",16495923,2017-05-07,2017-05-14
"125",16502224,2017-05-08,2017-05-15
"126",16502192,2017-05-08,2017-05-15
"127",16503955,2017-05-08,2017-05-15
"128",16505250,2017-05-08,2017-05-15
"129",16509433,2017-05-08,2017-05-15
"130",16534402,2017-05-12,2017-05-19
"131",16549979,2017-05-14,2017-05-21
"132",16585003,2017-05-18,2017-06-17
"133",16851189,2017-06-05,2017-07-05
"134",16857797,2017-06-05,2017-07-05
"135",16857145,2017-06-05,2017-07-05
"136",16861462,2017-06-05,2017-07-05
"137",16862645,2017-06-06,2017-07-06
"138",16864008,2017-06-06,2017-07-06
"139",16865836,2017-06-06,2017-07-06
"140",16797581,2017-06-06,2017-07-06
"141",16868967,2017-06-06,2017-07-06
"142",16869419,2017-06-06,2017-07-06
"143",16879525,2017-06-07,2017-07-07
"144",16879893,2017-06-08,2017-07-08
"145",16886865,2017-06-08,2017-07-08
"146",16898630,2017-06-10,2017-07-10
"147",16904395,2017-06-11,2017-07-11
"148",16908917,2017-06-11,2017-07-11
"149",16912240,2017-06-11,2017-07-11
"150",16914289,2017-06-11,2017-07-11
"151",16916793,2017-06-12,2017-07-12
"152",16916815,2017-06-12,2017-07-12
"153",16921022,2017-06-12,2017-07-12
"154",16924393,2017-06-12,2017-07-12
"155",16924976,2017-06-12,2017-07-12
"156",16925380,2017-06-12,2017-07-12
"157",16926681,2017-06-13,2017-07-13
"158",16929523,2017-06-13,2017-07-13
"159",16930323,2017-06-13,2017-07-13
"160",16932868,2017-06-13,2017-07-13
"161",16934040,2017-06-13,2017-07-13
"162",16951673,2017-06-15,2017-07-15
"163",16957603,2017-06-16,2017-07-16
"164",16963806,2017-06-17,2017-07-17
"165",16964581,2017-06-17,2017-07-17
"166",16980846,2017-06-18,2017-07-18
"167",16995163,2017-06-19,2017-07-19
"168",16936175,2017-06-20,2017-07-20
"169",16998364,2017-06-20,2017-07-20
"170",16998837,2017-06-20,2017-07-20
"171",17007014,2017-06-21,2017-06-28
"172",17021827,2017-06-23,2017-06-30
"173",17023224,2017-06-23,2017-06-30
"174",17027817,2017-06-24,2017-07-01
"175",17031509,2017-06-25,2017-07-02
"176",17043037,2017-06-26,2017-07-03
"177",17045318,2017-06-26,2017-07-03
"178",17047227,2017-06-26,2017-07-03
"179",17051854,2017-06-27,2017-07-04
"180",17055128,2017-06-27,2017-07-04
"181",17058394,2017-06-27,2017-07-04
"182",17069947,2017-06-29,2017-07-06
"183",17086856,2017-07-03,2017-07-10
"184",17113065,2017-07-05,2017-08-04
"185",17115225,2017-07-06,2017-07-13
"186",17117740,2017-07-06,2017-07-13
"187",17118759,2017-07-06,2017-07-13
"188",17126907,2017-07-08,2017-07-15
"189",17133589,2017-07-09,2017-07-16
"190",17134611,2017-07-09,2017-08-08
"191",17152548,2017-07-11,2017-07-18
"192",17167717,2017-07-14,2017-07-21
"193",17183010,2017-07-16,2017-07-23
"194",17191641,2017-07-17,2017-07-24
"195",17205958,2017-07-19,2017-07-26
"196",17208205,2017-07-19,2017-08-18
"197",17208388,2017-07-19,2017-08-18
"198",17224181,2017-07-22,2017-08-21
"199",17226155,2017-07-23,2017-07-30
"200",17226825,2017-07-23,2017-07-30
"201",16688804,2017-07-23,2017-07-30
"202",17271532,2017-07-29,2017-08-05
"203",17272078,2017-07-29,2017-08-05
"204",17273982,2017-07-29,2017-08-05
"205",17274967,2017-07-29,2017-08-05
"206",17277720,2017-07-29,2017-08-05
"207",17278335,2017-07-29,2017-08-05
"208",17278792,2017-07-29,2017-08-05
"209",17277144,2017-07-29,2017-08-05
"210",17281398,2017-07-29,2017-08-05
"211",17281444,2017-07-29,2017-08-05
"212",17281506,2017-07-30,2017-08-06
"213",17283263,2017-07-30,2017-08-06
"214",17283129,2017-07-30,2017-08-06
"215",17284734,2017-07-30,2017-08-06
"216",17284587,2017-07-30,2017-08-06
"217",17285904,2017-07-30,2017-08-06
"218",17284192,2017-07-30,2017-08-06
"219",16429445,2017-07-30,2017-08-06
"220",17289110,2017-07-30,2017-08-06
"221",17289500,2017-07-30,2017-08-06
"222",17291094,2017-07-30,2017-08-29
"223",17287387,2017-07-30,2017-08-06
"224",17293759,2017-07-30,2017-08-06
"225",17303759,2017-07-30,2017-08-06
"226",17307863,2017-07-30,2017-08-06
"227",17315963,2017-07-31,2017-08-07
"228",17316336,2017-07-31,2017-08-30
"229",17327409,2017-08-02,2017-08-09
"230",17335478,2017-08-03,2017-08-10
"231",17337942,2017-08-04,2017-08-11
"232",17350054,2017-08-05,2017-08-12
"233",17355604,2017-08-06,2017-08-13
"234",17357745,2017-08-06,2017-08-13
"235",17358168,2017-08-06,2017-08-13
"236",15054595,2017-01-07,2017-01-14
"237",15066418,2017-01-08,2017-01-15
"238",14928690,2017-01-08,2017-01-15
"239",15076171,2017-01-08,2017-01-15
"240",15089818,2017-01-09,2017-01-16
"241",15114051,2017-01-11,2017-01-18
"242",15115647,2017-01-11,2017-01-18
"243",15121778,2017-01-11,2017-01-18
"244",15138147,2017-01-13,2017-02-12
"245",15140211,2017-01-13,2017-01-20
"246",15143113,2017-01-13,2017-01-20
"247",15156905,2017-01-14,2017-01-21
"248",15010179,2017-01-15,2017-01-22
"249",15191900,2017-01-16,2017-01-23
"250",15191326,2017-01-16,2017-01-23
"251",15197585,2017-01-16,2017-01-23
"252",15200886,2017-01-16,2017-01-23
"253",15205926,2017-01-16,2017-01-23
"254",15211241,2017-01-16,2017-01-23
"255",15588000,2017-02-13,2017-02-20
"256",15631635,2017-02-17,2017-02-24
"257",15636682,2017-02-17,2017-02-24
"258",15639890,2017-02-17,2017-02-24
"259",15640740,2017-02-18,2017-03-20
"260",15644014,2017-02-18,2017-02-25
"261",15645730,2017-02-18,2017-02-25
"262",15651950,2017-02-18,2017-02-25
"263",15688782,2017-02-20,2017-02-27
"264",15713612,2017-02-21,2017-02-28
"265",15714499,2017-02-21,2017-02-28
"266",15721518,2017-02-22,2017-03-24
"267",14954495,2017-01-01,2017-01-08
"268",14959720,2017-01-01,2017-01-08
"269",14972135,2017-01-02,2017-01-09
"270",14977041,2017-01-02,2017-01-09
"271",14978999,2017-01-02,2017-01-09
"272",14981625,2017-01-02,2017-02-01
"273",15022066,2017-01-05,2017-01-12
"274",15032506,2017-01-05,2017-01-12
"275",16597788,2017-05-19,2017-06-18
"276",16600348,2017-05-19,2017-06-18
"277",16600843,2017-05-19,2017-06-18
"278",16602219,2017-05-19,2017-06-18
"279",16610915,2017-05-20,2017-06-19
"280",16616163,2017-05-20,2017-06-19
"281",16617868,2017-05-20,2017-06-19
"282",16621436,2017-05-21,2017-06-20
"283",16623537,2017-05-21,2017-06-20
"284",16623920,2017-05-21,2017-06-20
"285",16625369,2017-05-21,2017-06-20
"286",16625600,2017-05-21,2017-06-20
"287",16629000,2017-05-21,2017-06-20
"288",16629857,2017-05-21,2017-06-20
